stay_date,rooms_available,total_rooms,rooms_sold,adr,total_rate,revenue
2026-04-19,120,120,99,151.78,15026.22,15026.22
2026-04-20,120,120,85,145.41,12359.85,12359.85
2026-04-21,120,120,84,145.05,12184.2,12184.2
2026-04-22,120,120,85,138.85,11802.25,11802.25
2026-04-23,120,120,86,139.23,11973.78,11973.78
2026-04-24,120,120,110,172.45,18969.5,18969.5
2026-04-25,120,120,105,180.59,18961.95,18961.95
2026-04-26,120,120,93,151.74,14111.82,14111.82
2026-04-27,120,120,85,138.19,11746.15,11746.15
2026-04-28,120,120,90,142.22,12799.8,12799.8
2026-04-29,120,120,90,141.8,12762.0,12762.0
2026-04-30,120,120,91,142.11,12932.01,12932.01
2026-05-01,120,120,106,177.54,18819.24,18819.24
2026-05-02,120,120,110,172.64,18990.4,18990.4
2026-05-03,120,120,98,156.74,15360.52,15360.52
2026-05-04,120,120,88,141.64,12464.32,12464.32
2026-05-05,120,120,92,138.26,12719.92,12719.92
2026-05-06,120,120,88,141.16,12422.08,12422.08
2026-05-07,120,120,90,141.92,12772.8,12772.8
2026-05-08,120,120,110,172.96,19025.6,19025.6
2026-05-09,120,120,106,178.65,18936.9,18936.9
2026-05-10,120,120,91,151.29,13767.39,13767.39
2026-05-11,120,120,89,142.41,12674.49,12674.49
2026-05-12,120,120,87,146.21,12720.27,12720.27
2026-05-13,120,120,89,141.61,12603.29,12603.29
2026-05-14,120,120,89,138.59,12334.51,12334.51
2026-05-15,120,120,110,181.26,19938.6,19938.6
2026-05-16,120,120,110,180.36,19839.6,19839.6
2026-05-17,120,120,98,150.74,14772.52,14772.52
2026-05-18,120,120,88,139.69,12292.72,12292.72
2026-05-19,120,120,87,141.6,12319.2,12319.2
2026-05-20,120,120,88,138.55,12192.4,12192.4
2026-05-21,120,120,88,143.41,12620.08,12620.08
2026-05-22,120,120,109,173.8,18944.2,18944.2
2026-05-23,120,120,110,172.89,19017.9,19017.9
2026-05-24,120,120,99,149.62,14812.38,14812.38
2026-05-25,120,120,85,144.03,12242.55,12242.55
2026-05-26,120,120,91,142.48,12965.68,12965.68
2026-05-27,120,120,89,142.52,12684.28,12684.28
2026-05-28,120,120,87,138.78,12073.86,12073.86
2026-05-29,120,120,109,179.26,19539.34,19539.34
2026-05-30,120,120,110,181.42,19956.2,19956.2
2026-05-31,120,120,98,157.67,15451.66,15451.66
2026-06-01,120,120,103,161.85,16670.55,16670.55
2026-06-02,120,120,102,160.49,16369.98,16369.98
2026-06-03,120,120,103,160.6,16541.8,16541.8
2026-06-04,120,120,98,166.68,16334.64,16334.64
2026-06-05,120,120,110,207.34,22807.4,22807.4
2026-06-06,120,120,110,207.89,22867.9,22867.9
2026-06-07,120,120,110,181.39,19952.9,19952.9
2026-06-08,120,120,105,164.41,17263.05,17263.05
2026-06-09,120,120,103,158.66,16341.98,16341.98
2026-06-10,120,120,106,166.53,17652.18,17652.18
2026-06-11,120,120,99,160.17,15856.83,15856.83
2026-06-12,120,120,110,201.79,22196.9,22196.9
2026-06-13,120,120,110,198.08,21788.8,21788.8
2026-06-14,120,120,110,177.07,19477.7,19477.7
2026-06-15,120,120,101,159.79,16138.79,16138.79
2026-06-16,120,120,103,158.7,16346.1,16346.1
2026-06-17,120,120,104,160.51,16693.04,16693.04
2026-06-18,120,120,101,161.74,16335.74,16335.74
2026-06-19,120,120,110,206.84,22752.4,22752.4
2026-06-20,120,120,110,204.95,22544.5,22544.5
2026-06-21,120,120,105,171.63,18021.15,18021.15
2026-06-22,120,120,98,164.45,16116.1,16116.1
2026-06-23,120,120,103,161.07,16590.21,16590.21
2026-06-24,120,120,103,163.16,16805.48,16805.48
2026-06-25,120,120,101,161.08,16269.08,16269.08
2026-06-26,120,120,110,199.4,21934.0,21934.0
2026-06-27,120,120,110,201.47,22161.7,22161.7
2026-06-28,120,120,110,176.22,19384.2,19384.2
2026-06-29,120,120,103,158.85,16361.55,16361.55
2026-06-30,120,120,101,164.27,16591.27,16591.27
2026-07-01,120,120,97,161.35,15650.95,15650.95
2026-07-02,120,120,99,159.75,15815.25,15815.25
2026-07-03,120,120,110,202.02,22222.2,22222.2
2026-07-04,120,120,110,207.15,22786.5,22786.5
2026-07-05,120,120,106,175.1,18560.6,18560.6
2026-07-06,120,120,104,163.3,16983.2,16983.2
2026-07-07,120,120,105,166.3,17461.5,17461.5
2026-07-08,120,120,97,166.84,16183.48,16183.48
2026-07-09,120,120,97,158.58,15382.26,15382.26
2026-07-10,120,120,110,208.56,22941.6,22941.6
2026-07-11,120,120,110,205.02,22552.2,22552.2
2026-07-12,120,120,110,175.49,19303.9,19303.9
2026-07-13,120,120,98,158.61,15543.78,15543.78
2026-07-14,120,120,100,166.25,16625.0,16625.0
2026-07-15,120,120,103,166.55,17154.65,17154.65
2026-07-16,120,120,106,159.26,16881.56,16881.56
2026-07-17,120,120,110,200.98,22107.8,22107.8
2026-07-18,120,120,110,204.42,22486.2,22486.2
2026-07-19,120,120,109,174.36,19005.24,19005.24
2026-07-20,120,120,100,161.66,16166.0,16166.0
2026-07-21,120,120,98,163.4,16013.2,16013.2
2026-07-22,120,120,98,163.4,16013.2,16013.2
2026-07-23,120,120,106,161.82,17152.92,17152.92
2026-07-24,120,120,110,208.03,22883.3,22883.3
2026-07-25,120,120,110,200.89,22097.9,22097.9
2026-07-26,120,120,106,173.16,18354.96,18354.96
2026-07-27,120,120,103,165.85,17082.55,17082.55
2026-07-28,120,120,103,160.14,16494.42,16494.42
2026-07-29,120,120,104,163.24,16976.96,16976.96
2026-07-30,120,120,104,165.85,17248.4,17248.4
2026-07-31,120,120,110,209.32,23025.2,23025.2
2026-08-01,120,120,110,205.78,22635.8,22635.8
2026-08-02,120,120,110,180.22,19824.2,19824.2
2026-08-03,120,120,103,159.88,16467.64,16467.64
2026-08-04,120,120,97,162.73,15784.81,15784.81
2026-08-05,120,120,100,161.09,16109.0,16109.0
2026-08-06,120,120,97,163.37,15846.89,15846.89
2026-08-07,120,120,110,203.54,22389.4,22389.4
2026-08-08,120,120,110,208.19,22900.9,22900.9
2026-08-09,120,120,105,180.22,18923.1,18923.1
2026-08-10,120,120,105,164.43,17265.15,17265.15
2026-08-11,120,120,102,162.93,16618.86,16618.86
2026-08-12,120,120,102,166.16,16948.32,16948.32
2026-08-13,120,120,106,162.81,17257.86,17257.86
2026-08-14,120,120,110,205.98,22657.8,22657.8
2026-08-15,120,120,110,203.83,22421.3,22421.3
2026-08-16,120,120,106,171.73,18203.38,18203.38
2026-08-17,120,120,98,167.21,16386.58,16386.58
2026-08-18,120,120,100,165.4,16540.0,16540.0
2026-08-19,120,120,102,160.09,16329.18,16329.18
2026-08-20,120,120,99,162.69,16106.31,16106.31
